"IDCHANNEL","IDTYPE_CHANNEL","IDDEVICE","MANUAL","CHANNEL_NAME","ACTIVE","IDOBJECT","COEF_OBJ","IDCHANNEL_PARENT","SHORT_NAME"
"1","1","1","false","Активная прямая","true",,,,
"2","2","1","false","Активная обратная","true",,,,
"3","3","1","false","Реактивная прямая","true",,,,
"4","4","1","false","Реактивная обратная","true",,,,
"5","5","1","false",,"true",,"1",,
"6","109","1","false",,"true",,,,
"7","208","1","true",,"true",,,,
"8","1","2","false","Активная прямая","true",,,,
"9","2","2","false","Активная обратная","true",,,,
"10","3","2","false","Реактивная прямая","true",,,,
"11","4","2","false","Реактивная обратная","true",,,,
"12","5","2","false",,"true",,"1",,
"13","109","2","false",,"true",,,,
"14","208","2","true",,"true",,,,
"15","1","3","false","Активная прямая","true",,,,
"16","2","3","false","Активная обратная","true",,,,
"17","3","3","false","Реактивная прямая","true",,,,
"18","4","3","false","Реактивная обратная","true",,,,
"19","5","3","false",,"true",,"1",,
"20","109","3","false",,"true",,,,
"21","208","3","true",,"true",,,,
"22","1","4","false","Активная прямая","true",,,,
"23","2","4","false","Активная обратная","true",,,,
"24","3","4","false","Реактивная прямая","true",,,,
"25","4","4","false","Реактивная обратная","true",,,,
"26","5","4","false",,"true",,"1",,
"27","109","4","false",,"true",,,,
"28","208","4","true",,"true",,,,
"29","1","5","false","Активная прямая","true",,,,
"30","2","5","false","Активная обратная","true",,,,
"31","3","5","false","Реактивная прямая","true",,,,
"32","4","5","false","Реактивная обратная","true",,,,
"33","5","5","false",,"true",,"1",,
"34","109","5","false",,"true",,,,
"35","208","5","true",,"true",,,,
"36","1","6","false","Активная прямая","true",,,,
"37","2","6","false","Активная обратная","true",,,,
"38","3","6","false","Реактивная прямая","true",,,,
"39","4","6","false","Реактивная обратная","true",,,,
"40","109","6","false",,"true",,,,
"41","208","6","true",,"true",,,,
"42","1","7","false","Активная прямая","true",,,,
"43","2","7","false","Активная обратная","true",,,,
"44","3","7","false","Реактивная прямая","true",,,,
"45","4","7","false","Реактивная обратная","true",,,,
"46","5","7","false",,"true",,"1",,
"47","109","7","false",,"true",,,,
"48","208","7","true",,"true",,,,
"55","1","9","false","Активная прямая","true",,,,
"56","2","9","false","Активная обратная","true",,,,
"57","3","9","false","Реактивная прямая","true",,,,
"58","4","9","false","Реактивная обратная","true",,,,
"59","5","9","false",,"true",,"1",,
"60","109","9","false",,"true",,,,
"61","208","9","false","Активная прямая (потери по проценту)","true",,,,
"62","1","10","false","Активная прямая","true",,,,
"63","2","10","false","Активная обратная","true",,,,
"64","3","10","false","Реактивная прямая","true",,,,
"65","4","10","false","Реактивная обратная","true",,,,
"66","5","10","false",,"true",,"1",,
"67","109","10","false",,"true",,,,
"68","208","10","true",,"true",,,,
"69","1","11","false","Активная прямая","true",,,,
"70","2","11","false","Активная обратная","true",,,,
"71","3","11","false","Реактивная прямая","true",,,,
"72","4","11","false","Реактивная обратная","true",,,,
"73","5","11","false",,"true",,"1",,
"74","109","11","false",,"true",,,,
"75","208","11","true",,"true",,,,
"76","1","12","false","Активная прямая","true",,,,
"77","2","12","false","Активная обратная","true",,,,
"78","3","12","false","Реактивная прямая","true",,,,
"79","4","12","false","Реактивная обратная","true",,,,
"80","109","12","false",,"true",,,,
"81","208","12","true",,"true",,,,
"82","1","13","false","Активная прямая","true",,,,
"83","2","13","false","Активная обратная","true",,,,
"84","3","13","false","Реактивная прямая","true",,,,
"85","4","13","false","Реактивная обратная","true",,,,
"86","5","13","false",,"true",,"1",,
"87","109","13","false",,"true",,,,
"88","1","14","false","Активная прямая","true",,,,
"89","2","14","false","Активная обратная","true",,,,
"90","3","14","false","Реактивная прямая","true",,,,
"91","4","14","false","Реактивная обратная","true",,,,
"92","5","14","false",,"true",,"1",,
"93","109","14","false",,"true",,,,
"94","1","15","false","Активная прямая","true",,,,
"95","2","15","false","Активная обратная","true",,,,
"96","3","15","false","Реактивная прямая","true",,,,
"97","4","15","false","Реактивная обратная","true",,,,
"98","109","15","false",,"true",,,,
"99","1","16","false","Активная прямая","true",,,,
"100","2","16","false","Активная обратная","true",,,,
"101","3","16","false","Реактивная прямая","true",,,,
"102","4","16","false","Реактивная обратная","true",,,,
"103","109","16","false",,"true",,,,
"104","1","17","false","Активная прямая","true",,,,
"105","2","17","false","Активная обратная","true",,,,
"106","3","17","false","Реактивная прямая","true",,,,
"107","4","17","false","Реактивная обратная","true",,,,
"108","5","17","false",,"true",,"1",,
"109","109","17","false",,"true",,,,
"110","208","17","true",,"true",,,,
"111","1","18","false",,"true",,,,
"112","2","18","false",,"true",,,,
"113","3","18","false",,"true",,,,
"114","4","18","false",,"true",,,,
"115","109","18","false",,"true",,,,
"116","1","19","false","Активная прямая","true",,,,
"117","2","19","false","Активная обратная","true",,,,
"118","3","19","false","Реактивная прямая","true",,,,
"119","4","19","false","Реактивная обратная","true",,,,
"120","5","19","false",,"true",,"1",,
"121","109","19","false",,"true",,,,
"122","208","19","true",,"true",,,,
"123","1","20","false","Активная прямая","true",,,,
"124","2","20","false","Активная обратная","true",,,,
"125","3","20","false","Реактивная прямая","true",,,,
"126","4","20","false","Реактивная обратная","true",,,,
"127","5","20","false",,"true",,"1",,
"128","109","20","false",,"true",,,,
"129","208","20","true",,"true",,,,
"130","1","21","false","Активная прямая","true",,,,
"131","2","21","false","Активная обратная","true",,,,
"132","3","21","false","Реактивная прямая","true",,,,
"133","4","21","false","Реактивная обратная","true",,,,
"134","5","21","false",,"true",,"1",,
"135","109","21","false",,"true",,,,
"136","208","21","true",,"true",,,,
"137","1","22","false","Активная прямая","true",,,,
"138","2","22","false","Активная обратная","true",,,,
"139","3","22","false","Реактивная прямая","true",,,,
"140","4","22","false","Реактивная обратная","true",,,,
"141","5","22","false",,"true",,"1",,
"142","109","22","false",,"true",,,,
"143","208","22","true",,"true",,,,
"144","1","23","false","Активная прямая","true",,,,
"145","2","23","false","Активная обратная","true",,,,
"146","3","23","false","Реактивная прямая","true",,,,
"147","4","23","false","Реактивная обратная","true",,,,
"148","5","23","false",,"true",,"1",,
"149","109","23","false",,"true",,,,
"150","208","23","true",,"true",,,,
"157","1","25","false","Активная прямая","true",,,,
"158","2","25","false","Активная обратная","true",,,,
"159","3","25","false","Реактивная прямая","true",,,,
"160","4","25","false","Реактивная обратная","true",,,,
"161","5","25","false",,"true",,"1",,
"162","109","25","false",,"true",,,,
"163","208","25","false","Активная прямая (потери по проценту)","true",,,,
"169","1","27","false","Активная прямая","true",,,,
"170","2","27","false","Активная обратная","true",,,,
"171","3","27","false","Реактивная прямая","true",,,,
"172","4","27","false","Реактивная обратная","true",,,,
"173","5","27","false",,"true",,"1",,
"174","109","27","false",,"true",,,,
"175","1","28","false","Активная прямая","true",,,,
"176","2","28","false","Активная обратная","true",,,,
"177","3","28","false","Реактивная прямая","true",,,,
"178","4","28","false","Реактивная обратная","true",,,,
"179","5","28","false",,"true",,"1",,
"180","109","28","false",,"true",,,,
"181","208","28","true",,"true",,,,
"182","1","29","false","Активная прямая","true",,,,
"183","2","29","false","Активная обратная","true",,,,
"184","3","29","false","Реактивная прямая","true",,,,
"185","4","29","false","Реактивная обратная","true",,,,
"186","5","29","false",,"true",,"1",,
"187","109","29","false",,"true",,,,
"188","208","29","true",,"true",,,,
"189","1","30","false","Активная прямая","true",,,,
"190","2","30","false","Активная обратная","true",,,,
"191","3","30","false","Реактивная прямая","true",,,,
"192","4","30","false","Реактивная обратная","true",,,,
"193","5","30","false",,"true",,"1",,
"194","109","30","false",,"true",,,,
"195","208","30","true",,"true",,,,
"196","1","31","false","Активная прямая","true",,,,
"197","2","31","false","Активная обратная","true",,,,
"198","3","31","false","Реактивная прямая","true",,,,
"199","4","31","false","Реактивная обратная","true",,,,
"200","5","31","false",,"true",,"1",,
"201","109","31","false",,"true",,,,
"202","208","31","true",,"true",,,,
"203","1","32","false","Активная прямая","true",,,,
"204","2","32","false","Активная обратная","true",,,,
"205","3","32","false","Реактивная прямая","true",,,,
"206","4","32","false","Реактивная обратная","true",,,,
"207","5","32","false",,"true",,"1",,
