"IDDEVICE","NAME_DEVICE","IDTYPE_DEVICE","UUID","GMT_SHIFT","DAYLIGHT","MANUAL","SHORT_NAME"
"1","Яч. № 15  СД-7 КНС-1","1","{096D7789-7BFF-4B09-9220-9DE5CEFF59DC}","5","false",,
"2","Яч. № 3  СТД-5","1","{869B5AFB-09AC-4386-AF96-CD7CBBEB0A39}","5","false",,
"3","Яч. № 4  СТД-2","1","{627BB369-4447-4CC0-A537-8FEA3730DDFE}","5","false",,
"4","Яч. № 13  СТД-6","1","{58D67641-85AE-4885-8A59-AD6AB63BBF38}","5","false",,
"5","Яч. № 14  СТД-3","1","{BBC3D3E6-F2EC-458E-9CAD-494DE8F26D2B}","5","false",,
"6","Яч. № 1  Т-2 КТП","1","{B97472B7-0F7D-48BA-9341-653E4E774B9A}","5","false",,
"7","Яч. № 9  СД-5","1","{4AC58120-559E-4EF7-AD93-623F7A08B93E}","5","false",,
"9","Яч. № 11  СД-6","1",,"5","false",,
"10","Яч. № 19  СД-4","1","{D9E726CC-C12E-4807-AC2D-0275B21CFDCC}","5","false",,
"11","Яч. № 21  СД-3","1","{FE098D01-BB6F-4718-B1AA-B2F9425A7797}","5","false",,
"12","Яч. № 23  Т-1 КТП","1","{7AD161D7-ADA2-4F47-BBB0-571926577AB4}","5","false",,
"13","Яч. № 5  СД-1 КНС","1","{1E74B935-05FB-4D4A-899B-84AF1EEBD5BF}","5","false",,
"14","Яч. № 8  СД-4 КНС","1","{AC47130C-BE88-4AB6-9F5B-B578C1496E6C}","5","false",,
"15","Яч. № 15  Т-1 КТП КНС-1б","1","{65CB88DA-9616-49E9-8B0E-7418B979A342}","5","false",,
"16","Яч. № 19  Т-2 КТП КНС-1б","1","{9FDCF50D-CA49-4FD8-85CD-8483D0E351E1}","5","false",,
"17","Яч. №31  СД-2 КНС","1","{B9C76EAF-EB26-4834-8750-80EFA8431B9F}","5","false",,
"18","Яч. №37  СД-1 КНС","1","{3D04F32A-AF28-456E-99CB-A27BE15148F5}","5","false",,
"19","Яч. № 3  К-15,16, 80,99","1","{D75A58D7-A7CA-4ACF-9B60-4500A633FBDA}","5","false",,
"20","Яч. № 7  ДНС-3 Ввод2","1","{E598C925-BA41-4C54-870B-50A2EBF3D9CD}","5","false",,
"21","Яч. № 8  К-25","1","{390E27AE-4DC6-4FCD-BE12-EE09F9865E6F}","5","false",,
