"IDPOINT_CONNECTION","NAME_POINT_CONNECTION","IDREGION","UUID","GMT_SHIFT","POWER_ACT","POWER_REACT","PK","PXX","SN","IDCTG_SALE","U","R","IDCTG","POWER_ACT_OBRAT","POWER_REACT_OBRAT","TC_OV_IDCHANNEL","LAST_TC_OV","ATS_CODE","KEGOC_CODE","IDTYPE_FIDER","SHORT_NAME","MARKA_PROVODA","LENGTH","LOSS_KORONA","LOSS_TOK","LOSS_PROC","CONST","IXX","UKZ","IDPROCESS"
"1","ПС35/6кВ КНС-1А: Яч.№15 СТД-7 4000кВт","0","{272A0F4F-7976-4229-A95F-965781BD85A2}",,,,,,,,,,,,,,,,,,,,,,,,,,,"2"
"2","ПС35/6кВ КНС-1бис: Яч.№03 СТД-5 4000кВт","0","{DC284C9D-1566-48E1-B33F-176999B39A46}",,,,,,,,,,,,,,,,,,,,,,,,,,,"2"
"3","ПС35/6кВ КНС-1бис: Яч.№04 СТД-2 4000кВт","0","{1C398012-45E8-4B30-94E3-1B1D27D1DC5A}",,,,,,,,,,,,,,,,,,,,,,,,,,,"2"
"4","ПС35/6кВ КНС-1бис: Яч.№13 СТД-6 4000кВт","0","{A956B128-36F8-4CD2-A211-956677C1E572}",,,,,,,,,,,,,,,,,,,,,,,,,,,"2"
"5","ПС35/6кВ КНС-1бис: Яч.№14 СТД-3 4000кВт","0","{7ADF98CD-8347-4ADE-A4CF-D7B74FD2D666}",,,,,,,,,,,,,,,,,,,,,,,,,,,"2"
"6","ПС35/6кВ КНС-2А: Яч.№01 КТП КНС-2 2Т 1000кВА","0","{AF863EE8-FA3A-41CA-B826-9291D39AF621}",,,,,,,,,,,,,,,,,,,,,,,,,,,"2"
"7","ПС35/6кВ КНС-2А: Яч.№09 СТД-5 4000кВт","0","{2B2DC328-047E-4772-B58D-826345EBA805}",,,,,,,,,,,,,,,,,,,,,,,,,,,"2"
"8","ПС35/6кВ КНС-2А: Яч.№11 СТД-6 4000кВт","0","{25F445AC-AE2F-48BE-AD89-4878AF73F06E}",,,,,,,,,,,,,,,,,,,,,,,,,,,"2"
"9","ПС35/6кВ КНС-2А: Яч.№19 СТД-4 4000кВт","0","{1D382747-BBD3-46D7-92EC-ACE849576C0E}",,,,,,,,,,,,,,,,,,,,,,,,,,,"2"
"10","ПС35/6кВ КНС-2А: Яч.№21 СТД-3 4000кВт","0","{DF75807E-0D04-4D41-A090-CB4796FDBD78}",,,,,,,,,,,,,,,,,,,,,,,,,,,"2"
"11","ПС35/6кВ КНС-2А: Яч.№23 КТП КНС-2 1Т 1000кВА","0","{4AA13040-A7AD-4BF4-AC64-9C65F76A102A}",,,,,,,,,,,,,,,,,,,,,,,,,,,"2"
"12","РУ6кВ №1: Яч.№05 СТД-1 4000кВт","0","{6970D9CD-A937-4711-9DCA-39AA4BBE7E7A}",,,,,,,,,,,,,,,,,,,,,,,,,,,"2"
"13","РУ6кВ №1: Яч.№08 СТД-4 4000кВт","0","{32CEC5F1-1415-43B9-9DF5-0507B52D1BF6}",,,,,,,,,,,,,,,,,,,,,,,,,,,"2"
"14","РУ6кВ №3: Яч.№15 КТП ""КНС-1бис"" 2х630кВа 1Т","0","{C53F2732-C0CC-4CB7-A0FE-258FA003BF81}",,,,,,,,,,,,,,,,,,,,,,,,,,,"2"
