"IDPOINT_CONNECTION","IDDEVICE","TIME_INSTALL","TIME_UNINSTALL","OV_SWITCH"
"1","1","2007-01-01 00:00:00",,
"2","2","2007-01-01 00:00:00",,
"3","3","2007-01-01 00:00:00",,
"4","4","2007-01-01 00:00:00",,
"5","5","2007-01-01 00:00:00",,
"6","6","2007-01-01 00:00:00",,
"7","7","2007-01-01 00:00:00",,
"8","9","2015-09-16 15:30:00",,
"9","10","2007-01-01 00:00:00",,
"10","11","2007-01-01 00:00:00",,
"11","12","2007-01-01 00:00:00",,
"12","13","2007-01-01 00:00:00",,
"13","14","2007-01-01 00:00:00",,
"14","15","2007-01-01 00:00:00",,
"15","16","2007-01-01 00:00:00",,
"16","17","2007-01-01 00:00:00",,
"17","18","2007-01-01 00:00:00",,
"18","19","2007-01-01 00:00:00",,
"19","20","2007-01-01 00:00:00",,
"20","21","2007-01-01 00:00:00",,
"21","22","2007-01-01 00:00:00",,
"22","23","2007-01-01 00:00:00",,
"23","25","2015-03-06 19:00:00",,
"24","27","2015-10-26 12:00:00",,
"25","28","2007-01-01 00:00:00",,
"26","29","2007-01-01 00:00:00",,
"27","30","2007-01-01 00:00:00",,
"28","31","2007-01-01 00:00:00",,
"29","32","2007-01-01 00:00:00",,
"30","33","2007-01-01 00:00:00",,
"31","34","2007-01-01 00:00:00",,
"32","35","2007-01-01 00:00:00",,
"33","36","2007-01-01 00:00:00",,
"34","37","2007-01-01 00:00:00",,
"35","38","2007-01-01 00:00:00",,
"36","39","2007-01-01 00:00:00",,
"37","40","2007-01-01 00:00:00",,
"38","41","2007-01-01 00:00:00",,
"39","44","2016-10-18 15:00:00",,
"40","45","2007-01-01 00:00:00",,
"41","46","2007-01-01 00:00:00",,
"42","47","2007-01-01 00:00:00",,
"43","48","2007-01-01 00:00:00",,
"44","50","2016-03-26 15:30:00",,
"45","51","2007-01-01 00:00:00",,
"46","52","2007-01-01 00:00:00",,
"47","53","2007-01-01 00:00:00",,
"48","54","2007-01-01 00:00:00",,
"49","55","2007-01-01 00:00:00",,
"50","56","2007-01-01 00:00:00",,
"51","57","2007-01-01 00:00:00",,
"52","58","2007-01-01 00:00:00",,
"53","59","2007-01-01 00:00:00",,
"54","60","2007-01-01 00:00:00",,
"55","61","2007-01-01 00:00:00",,
"56","62","2007-01-01 00:00:00",,
"57","63","2007-01-01 00:00:00",,
"58","64","2007-01-01 00:00:00",,
"59","65","2007-01-01 00:00:00",,
"60","66","2007-01-01 00:00:00",,
"61","67","2007-01-01 00:00:00",,
"62","68","2007-01-01 00:00:00",,
"63","69","2007-01-01 00:00:00",,
"64","70","2007-01-01 00:00:00",,
"65","71","2007-01-01 00:00:00",,
"66","72","2007-01-01 00:00:00",,
"67","73","2007-01-01 00:00:00",,
"68","75","2015-06-01 11:00:00",,
"69","76","2007-01-01 00:00:00",,
"70","77","2007-01-01 00:00:00",,
"71","78","2007-01-01 00:00:00",,
"72","79","2007-01-01 00:00:00",,
"73","80","2007-01-01 00:00:00",,
"74","81","1900-01-02 00:00:00",,
"75","82","2007-01-01 00:00:00",,
"76","84","2017-07-12 17:00:00",,
"77","85","2007-01-01 00:00:00",,
"78","86","1900-01-02 00:00:00",,
"79","87","2007-01-01 00:00:00",,
"80","88","2007-01-01 00:00:00",,
"81","89","2007-01-01 00:00:00",,
"82","90","2007-01-01 00:00:00",,
"83","91","2007-01-01 00:00:00",,
"84","92","2007-01-01 00:00:00",,
"85","93","2007-01-01 00:00:00",,
"86","94","2007-01-01 00:00:00",,
"87","95","2007-01-01 00:00:00",,
"88","96","2007-01-01 00:00:00",,
"89","97","2007-01-01 00:00:00",,
"90","98","2007-01-01 00:00:00",,
"91","99","2007-01-01 00:00:00",,
"92","100","2007-01-01 00:00:00",,
"93","102","2015-04-07 14:30:00",,
"94","103","2007-01-01 00:00:00",,
"95","104","2007-01-01 00:00:00",,
"96","105","2007-01-01 00:00:00",,
"97","106","2007-01-01 00:00:00",,
"98","107","2007-01-01 00:00:00",,
"99","108","2007-01-01 00:00:00",,
"100","109","2007-01-01 00:00:00",,
"101","7889","2018-08-21 10:00:00",,
"102","111","2007-01-01 00:00:00",,
"103","112","2007-01-01 00:00:00",,
"104","113","2007-01-01 00:00:00",,
"105","114","2007-01-01 00:00:00",,
"106","115","2007-01-01 00:00:00",,
"107","116","2007-01-01 00:00:00",,
"108","117","2007-01-01 00:00:00",,
"109","118","2007-01-01 00:00:00",,
"110","119","2007-01-01 00:00:00",,
"111","120","2007-01-01 00:00:00",,
"112","121","2007-01-01 00:00:00",,
"113","122","2007-01-01 00:00:00",,
"114","123","2007-01-01 00:00:00",,
"115","124","2007-01-01 00:00:00",,
"116","125","2007-01-01 00:00:00",,
"117","126","2007-01-01 00:00:00",,
"118","127","2007-01-01 00:00:00",,
"119","128","2007-01-01 00:00:00",,
"120","129","2007-01-01 00:00:00",,
"121","130","2007-01-01 00:00:00",,
"122","131","2007-01-01 00:00:00",,
"123","132","2007-01-01 00:00:00",,
"124","133","2007-01-01 00:00:00",,
"125","134","2007-01-01 00:00:00",,
"126","135","2007-01-01 00:00:00",,
"127","136","2007-01-01 00:00:00",,
"128","137","2007-01-01 00:00:00",,
"129","138","2007-01-01 00:00:00",,
"130","139","2007-01-01 00:00:00",,
"131","140","2007-01-01 00:00:00",,
"132","141","2007-01-01 00:00:00",,
"133","142","2007-01-01 00:00:00",,
"134","143","2007-01-01 00:00:00",,
"135","144","2007-01-01 00:00:00",,
"137","145","2007-01-01 00:00:00",,
"138","146","2007-01-01 00:00:00",,
"139","147","2007-01-01 00:00:00",,
"140","148","2007-01-01 00:00:00",,
"141","149","2007-01-01 00:00:00",,
"142","150","2007-01-01 00:00:00",,
"143","151","2007-01-01 00:00:00",,
"144","152","2007-01-01 00:00:00",,
"145","153","2007-01-01 00:00:00",,
"146","154","2007-01-01 00:00:00",,
"147","155","2007-01-01 00:00:00",,
"148","157","2015-04-08 02:00:00",,
"149","158","2007-01-01 00:00:00",,
"153","159","2010-11-17 00:00:00",,"false"
"154","160","2010-11-17 00:00:00",,"false"
"155","161","2007-01-01 00:00:00",,
"156","162","2007-01-01 00:00:00",,
"157","163","2007-01-01 00:00:00",,
"158","164","2007-01-01 00:00:00",,
"159","165","2007-01-01 00:00:00",,
"160","166","2007-01-01 00:00:00",,
"161","167","2007-01-01 00:00:00",,
"162","168","2007-01-01 00:00:00",,
"163","169","2007-01-01 00:00:00",,
"164","170","2007-01-01 00:00:00",,
"165","171","2007-01-01 00:00:00",,
"166","12621","2021-05-14 16:00:00",,
"167","173","2007-01-01 00:00:00",,
"168","174","2007-01-01 00:00:00",,
"169","175","2007-01-01 00:00:00",,
"170","176","2007-01-01 00:00:00",,
"171","177","2007-01-01 00:00:00",,
"172","178","2007-01-01 00:00:00",,
"173","179","2007-01-01 00:00:00",,
"174","180","1900-01-02 00:00:00",,
"176","182","2007-07-15 00:00:00",,"false"
"177","183","2007-02-04 00:00:00",,"false"
"178","12503","2021-04-13 16:00:00",,
"179","185","2007-07-15 00:00:00",,"false"
"180","186","2007-07-15 00:00:00",,"false"
"181","12504","2021-04-13 16:00:00",,
"182","12505","2021-04-13 16:00:00",,
"183","12506","2021-04-13 16:00:00",,
"184","12507","2021-04-13 16:00:00",,
"185","194","2007-07-15 00:00:00",,"false"
"186","195","2007-07-15 00:00:00",,"false"
"187","196","2007-01-01 00:00:00",,
"188","197","2007-01-01 00:00:00",,
"189","198","2007-01-01 00:00:00",,
"190","199","2007-01-01 00:00:00",,
"191","200","2007-01-01 00:00:00",,
"192","201","2007-02-04 00:00:00",,"false"
"193","202","2007-02-04 00:00:00",,"false"
"194","203","2007-01-01 00:00:00",,
"195","204","2007-01-01 00:00:00",,
"196","205","2007-01-01 00:00:00",,
"197","206","2007-01-01 00:00:00",,
"198","207","2007-01-01 00:00:00",,
"199","208","1900-01-02 00:00:00",,
"200","209","1900-01-02 00:00:00",,
"201","210","1900-01-02 00:00:00",,
"202","211","1900-01-02 00:00:00",,
"203","212","1900-01-02 00:00:00",,
"204","213","1900-01-02 00:00:00",,
