"IDPOINT_CONNECTION","IDOBJECT","COEF","ORDER_NO"
"1","5","1",
"1","869","1",
"1","1801","-1",
"1","2273","1",
"1","2301","1",
"1","2367","-1",
"1","2513","-1",
"1","2838","-1",
"1","2993","1",
"1","3393","1",
"1","3415","1",
"1","3609","1",
"1","3899","1",
"1","3915","1",
"1","4788","1",
"1","5551","1",
"1","5695","-1",
"1","6595","1",
"1","6640","1",
"1","6819","1",
"1","10379","1",
"2","5","1",
"2","872","1",
"2","1802","-1",
"2","2273","1",
"2","2301","1",
"2","2368","-1",
"2","2514","-1",
"2","2839","-1",
"2","2993","1",
"2","3415","1",
"2","3607","1",
"2","3899","1",
"2","3915","1",
"2","4785","1",
"2","5551","1",
"2","5696","-1",
"2","6595","1",
"2","6640","1",
"2","6819","1",
"2","10379","1",
"3","5","1",
"3","872","1",
"3","1802","-1",
"3","2273","1",
"3","2301","1",
"3","2368","-1",
"3","2514","-1",
"3","2839","-1",
"3","2993","1",
"3","3415","1",
"3","3604","1",
"3","3899","1",
"3","3915","1",
"3","4785","1",
"3","5551","1",
"3","5696","-1",
"3","6595","1",
"3","6640","1",
"3","6819","1",
"3","10379","1",
"4","5","1",
"4","872","1",
"4","1802","-1",
"4","2273","1",
"4","2301","1",
"4","2367","-1",
"4","2514","-1",
"4","2840","-1",
"4","2993","1",
"4","3415","1",
"4","3608","1",
"4","3899","1",
"4","3915","1",
"4","4785","1",
"4","5551","1",
"4","5695","-1",
"4","6595","1",
"4","6640","1",
"4","6819","1",
"4","10379","1",
"5","5","1",
"5","872","1",
"5","1802","-1",
"5","2273","1",
"5","2301","1",
"5","2367","-1",
"5","2514","-1",
"5","2840","-1",
"5","2993","1",
"5","3415","1",
"5","3605","1",
"5","3899","1",
"5","3915","1",
"5","4785","1",
"5","5551","1",
"5","5695","-1",
"5","6595","1",
"5","6640","1",
"5","6819","1",
"5","10379","1",
"6","5","1",
"6","874","1",
"6","1804","-1",
"6","2273","1",
"6","2316","1",
"6","2443","-1",
"6","2515","-1",
"6","2842","-1",
"6","2993","1",
"6","3817","1",
"6","4382","1",
"6","4791","1",
"6","5786","-1",
"6","5801","1",
"6","6838","1",
"7","5","1",
"7","874","1",
"7","1804","-1",
"7","2273","1",
"7","2316","1",
"7","2443","-1",
"7","2515","-1",
"7","2842","-1",
"7","2993","1",
"7","3415","1",
"7","3614","1",
"7","3816","1",
"7","4083","1",
"7","4791","1",
"7","5552","1",
"7","5786","-1",
"7","5801","1",
"7","6838","1",
"7","10380","1",
"8","5","1",
"8","874","1",
"8","1804","-1",
"8","2273","1",
"8","2316","1",
"8","2443","-1",
"8","2515","-1",
"8","2842","-1",
"8","2993","1",
"8","3415","1",
"8","3615","1",
"8","3816","1",
"8","4083","1",
"8","4791","1",
"8","5018","1",
"8","5552","1",
"8","5786","-1",
"8","5801","1",
"8","6838","1",
"8","10380","1",
"9","5","1",
"9","874","1",
"9","1804","-1",
"9","2273","1",
"9","2316","1",
"9","2441","-1",
"9","2515","-1",
"9","2841","-1",
"9","2993","1",
"9","3415","1",
"9","3613","1",
"9","3816","1",
"9","4083","1",
"9","4791","1",
"9","5552","1",
"9","5784","-1",
"9","5801","1",
"9","6838","1",
"9","10380","1",
"10","5","1",
"10","874","1",
"10","1804","-1",
"10","2273","1",
"10","2316","1",
"10","2441","-1",
"10","2515","-1",
"10","2841","-1",
"10","2993","1",
"10","3415","1",
"10","3612","1",
"10","3816","1",
"10","4083","1",
"10","4791","1",
"10","5552","1",
"10","5784","-1",
"10","5801","1",
"10","6838","1",
