"Номера узлов",,"Имя узла начала","Имя узла конца","Обозначение","В Н","Вид","B К","Uном(н) кВ","Pв(н) кВт","Qв(н) квар","Pв(к) кВт","Qв(к) квар","dP кВт","dQ квар","dP %","Pп кВт","Qп квар","Iв(н) А","Iв(к) А","Iдоп А","Кз","Период №","Состояние"
"1",,"ДНС-1",,,"Вкл.","Источник ЭДС",,"6,3","-3963","-1835",,,,,,,,"400",,"-","-","0","Сущ"
"1-2",,"ДНС-1","2",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"1-10",,"ДНС-1","10",,"Откл.","Линия","Вкл.",,,,,,,,,,,,,,"0","Сущ",
"1-168",,"ДНС-1","168","Ф-15 ДНС-1","Вкл.","Линия","Вкл.","6,3","1783","1456","1735","1394","48,4","62,2","2,71","0","-0,199","211","211","10000","0,0211","0","Сущ"
"1-71",,"ДНС-1","71",,"Вкл.","Линия","Вкл.","6,3","370","-98,6","360","-110","10,33","13,27","2,79","0","-1,56","35,1","35","10000","0,00351","0","Сущ"
"1",,"ДНС-1",,,"Вкл.","Шунт",,"6,3","1,65","-496",,,,,,,,"45,5",,"43,3","1,05","0","Сущ"
"1-77",,"ДНС-1","77","Ф-14 ДНС-1","Вкл.","Линия","Вкл.","6,3","0,000451","-0,425","0,000451","0,000579","0","0","0","0","-0,426","0,039","0","10000","0","0","Сущ"
"1",,"ДНС-1",,,"Вкл.","Шунт",,"6,3","1,65","-496",,,,,,,,"45,5",,"43,3","1,05","0","Сущ"
"2-3",,"2","3",,"Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"2-55",,"2","55","Ф-19 ДНС-1","Вкл.","Линия","Вкл.","6,3","473","92,5","470","88,2","3,64","4,68","0,769","0","-0,386","43,1","43,1","10000","0,00431","0","Сущ"
"2-80",,"2","80","Ф-5 Жагрин","Вкл.","Линия","Вкл.","6,3","-473","-92,5","-475","-94,2","1,4","1,8","0,295","0","-0,15","43,1","43,1","375","0,115","0","Сущ"
"3-4",,"3","4","Ф-13 Рынковой","Вкл.","Линия","Вкл.","6,3","831","676","821","664","9,58","12,31","1,15","0","-0,178","99,1","99,1","10000","0,00991","0","Сущ"
"3-8",,"3","8","Ф-13 Рынковой","Вкл.","Линия","Вкл.","6,3","-831","-676","-833","-679","2,21","2,84","0,266","0","-0,0419","99,1","99,1","10000","0,00991","0","Сущ"
"4-5",,"4","5","Ф-13 Рынковой","Вкл.","Линия","Вкл.","6,3","203","174","203","173","0,567","0,729","0,279","0","-0,162","25,1","25,1","10000","0,00251","0","Сущ"
"4-6",,"4","К-22",,"Вкл.","Линия","Вкл.","6,3","618","490","618","489","0,411","0,528","0,0665","0","-0,0135","74","74","10000","0,0074","0","Сущ"
"5-7",,"5","К-122",,"Вкл.","Линия","Вкл.","6,3","203","173","203","173","0,0473","0,0608","0,0233","0","-0,0134","25,1","25,1","10000","0,00251","0","Сущ"
"6-111",,"К-22","К-22",,"Вкл.","Трансформатор","Вкл.","6,3","327","250","322","224","3,11","13,11","0,953","1,47","13,22","38,7","567","60,6","0,638","0","Сущ"
"7-110",,"К-122","К-122",,"Вкл.","Трансформатор","Вкл.","6,3","203","173","199","154","0,694","3,34","0,342","3,13","15,64","25,1","359","96,2","0,261","0","Сущ"
"8-9",,"8","9",,"Вкл.","Линия","Вкл.","6,3","-1265","-1009","-1268","-1013","3,34","4,29","0,264","0","-0,0281","149","149","10000","0,0149","0","Сущ"
"8-21",,"8","21","Ф-13 Рынковой","Вкл.","Линия","Вкл.","6,3","432","331","413","308","18,89","24,3","4,38","0","-1,33","50,1","50,2","10000","0,00501","0","Сущ"
"9-1",,"9","ДНС-1",,"Вкл.","Линия","Вкл.","6,3","-1268","-1013","-1272","-1018","3,34","4,29","0,263","0","-0,0283","149","149","10000","0,0149","0","Сущ"
"10-11",,"10","Центрофорс",,"Вкл.","Линия","Вкл.","6,3","0,0337","0,0567","0,0337","0,0692","0","0","0","0","-0,0125","0,00644","0,00752","10000","0","0","Сущ"
"11-12",,"Центрофорс","12",,"Вкл.","Линия","Вкл.","6,3","-0,016","0,00829","-0,016","0,0208","0","0","0","0","-0,0125","0,00176","0,00256","10000","0","0","Сущ"
"12-13",,"12","13","Ф-3 Рынковой","Вкл.","Линия","Вкл.","6,3","0,192","-0,319","0,192","-0,244","0","0","0","0","-0,0749","0,0364","0,0303","375","0","0","Сущ"
"12-19",,"12","19","Ф-3 Рынковой","Вкл.","Линия","Вкл.","6,3","-0,197","0,35","-0,197","0,475","0","0","0","0","-0,125","0,0392","0,0502","10000","0","0","Сущ"
"13-14",,"13","СОД",,"Вкл.","Линия","Вкл.","6,3","0,191","0,101","0,191","0,114","0","0","0","0","-0,0125","0,0211","0,0217","10000","0","0","Сущ"
"13-15",,"13","15","Ф-3 Рынковой","Вкл.","Линия","Вкл.","6,3","-0,00233","-0,352","-0,00233","-0,19","0","0","0","0","-0,162","0,0344","0,0186","10000","0","0","Сущ"
"14-109",,"СОД","109",,"Вкл.","Трансформатор","Вкл.","6,3","0,194","0,121","0","0","0","0","0","0,194","0,121","0,0224","0","2,41","0,00929","0","Сущ"
"15-16",,"15","16",,"Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"15-17",,"15","17","Ф-3 Рынковой","Вкл.","Линия","Вкл.","6,3","0,00342","-0,171","0,00342","-0,00819","0","0","0","0","-0,162","0,0167","0,000867","10000","0","0","Сущ"
"16-6",,"16","К-22",,"Вкл.","Выключатель","Вкл.","6,3","-291","-239","-291","-239","0","0","0","0","0","35,4","35,4","-","-","0","Сущ"
"16-112",,"16","К-22",,"Вкл.","Трансформатор","Вкл.","6,3","291","239","287","215","2,59","10,92","0,891","1,47","13,22","35,4","518","60,6","0,584","0","Сущ"
"17-18",,"17","18","Ф-3 Рынковой","Вкл.","Линия","Вкл.","6,3","-0,0369","-0,0662","-0,0369","-0,0538","0","0","0","0","-0,0125","0,00741","0,00637","10000","0","0","Сущ"
"18-7",,"18","К-122",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"19-20",,"19","Р-183",,"Вкл.","Линия","Вкл.","6,3","121","53,7","121","53,6","0,176","0,226","0,145","0","-0,175","12,95","12,95","10000","0,00129","0","Сущ"
"19-22",,"19","22","Ф-3 Рынковой","Вкл.","Линия","Вкл.","6,3","-121","-53,2","-123","-53,5","1,25","1,61","1,03","0","-1,27","12,94","12,9","10000","0,00129","0","Сущ"
"20-143",,"Р-183","Р-183",,"Вкл.","Трансформатор","Вкл.","6,3","0,966","3,62","0","0","0","0","0","0,966","3,62","0,367","0","24,1","0,0153","0","Сущ"
