Подразделение,Электроустановка,"СШ, №яч.",Дисп. наименование КТП(Н),"S, кВА","I ном., А",№ авт. (тип),"I ном.авт., А","Тип блока защит АВ-0,4кВ","Прогрузка АВ-0,4кВ",Уставка МТЗ,Уставка МТО,Диап. рег. уст. МТЗ,Диап. рег. уст. МТО,Потребитель,"ЭЦН, ШГН","Р факт., кВт",Состояние,"I факт., А","Загр. КТПН, %","U факт. КТПН, В",ПБВ Кол-во,ПБВ Полож.,Дата замера,"U на СУ, В",Селективность действия защит,"Qжидк., куб.м./с","Qн., тонн","Время АПВ, мин.",Рем. № КТПН,department_num,eu_type,eu_station_name,pad_num,ktpn_num
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,0(ВА 5739),630.0,,,0.0,0.0,,,Ввод,,0.0,,12.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,10,РУ 6 кВ,ДНС-1,,
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,1(ВА57-35),200.0,,,0.0,0.0,,,БСК,,0.0,Остановлен,0.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,10,РУ 6 кВ,ДНС-1,,
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,2(CVS-100),80.0,,,0.0,0.0,,,УПТГ,,0.0,Запущен,0.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,10,РУ 6 кВ,ДНС-1,,
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,3(CVS-100),100.0,,,0.0,0.0,,,трансфер+,,0.0,Запущен,0.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,10,РУ 6 кВ,ДНС-1,,
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,4(CVS-100),100.0,,,0.0,0.0,,,"УДХ ПР-0,4",,0.0,Запущен,0.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,10,РУ 6 кВ,ДНС-1,,
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,5(ВА 5737),100.0,,,0.0,0.0,,,"ПР-0,4 №1",,0.0,Запущен,0.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,10,РУ 6 кВ,ДНС-1,,
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,6(ВА 5739),400.0,,,0.0,0.0,,,рез.,,0.0,,0.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,10,РУ 6 кВ,ДНС-1,,
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,7(ВА 5739),320.0,,,0.0,0.0,,,НСТ,,0.0,Запущен,9.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,10,РУ 6 кВ,ДНС-1,,
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,8(ВА 57ф35),250.0,,,0.0,0.0,,,АИС,,0.0,Запущен,0.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,10,РУ 6 кВ,ДНС-1,,
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,9(ВА57-39),0.0,,,0.0,0.0,,,резерв,,0.0,,0.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,10,РУ 6 кВ,ДНС-1,,
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,10(ВА57-35),0.0,,,0.0,0.0,,,"ПР-0,4кВ",,0.0,Запущен,3.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,10,РУ 6 кВ,ДНС-1,,
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,11(ВА57-35),0.0,,,0.0,0.0,,,ГПН-С,,0.0,Запущен,0.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,10,РУ 6 кВ,ДНС-1,,
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,12(ВА57-35),0.0,,,0.0,0.0,,,ШР,,0.0,,0.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,10,РУ 6 кВ,ДНС-1,,
