Подразделение,Электроустановка,"СШ, №яч.",Дисп. наименование КТП(Н),Потребитель
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",Ввод
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",БСК
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",УПТГ
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",трансфер+
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1","УДХ ПР-0,4"
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1","ПР-0,4 №1"
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",рез.
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",НСТ
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",АИС
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",резерв
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1","ПР-0,4кВ"
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",ГПН-С
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",ШР
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.21," КТПН 6/0,4кВ 1000 кВА №2 КП-40",Вводной автомат
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.21," КТПН 6/0,4кВ 1000 кВА №2 КП-40",БМА
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.21," КТПН 6/0,4кВ 1000 кВА №2 КП-40",резерв
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.21," КТПН 6/0,4кВ 1000 кВА №2 КП-40",резерв
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.21," КТПН 6/0,4кВ 1000 кВА №2 КП-40",резерв
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.21," КТПН 6/0,4кВ 1000 кВА №2 КП-40",резерв
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.21," КТПН 6/0,4кВ 1000 кВА №2 КП-40",580
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.21," КТПН 6/0,4кВ 1000 кВА №2 КП-40","576""В"""
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.21," КТПН 6/0,4кВ 1000 кВА №2 КП-40",БСК
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.21," КТПН 6/0,4кВ 1000 кВА №2 КП-40",ШР
с/р №10,"РУ 6 кВ ЭЦ ""ГПЭС-1""",СШ 6 кВ №2 яч. 15," КТПН 6/0,4кВ 1000 кВА №3 КП-38",Вводной автомат
с/р №10,"РУ 6 кВ ЭЦ ""ГПЭС-1""",СШ 6 кВ №2 яч. 15," КТПН 6/0,4кВ 1000 кВА №3 КП-38",БСК
с/р №10,"РУ 6 кВ ЭЦ ""ГПЭС-1""",СШ 6 кВ №2 яч. 15," КТПН 6/0,4кВ 1000 кВА №3 КП-38",468
с/р №10,"РУ 6 кВ ЭЦ ""ГПЭС-1""",СШ 6 кВ №2 яч. 15," КТПН 6/0,4кВ 1000 кВА №3 КП-38",резерв
