Подразделение,Электроустановка,"СШ, №яч.",Дисп. наименование КТП(Н),padNum,object_type,primitiveName,node_name,padNum,object_type,primitiveName,node_name
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 5," КТПН 6/0,4кВ 1000кВА №2 КП-3",КП-3,КТПН,eeKTPN,КТПН 2,КП-3,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 5," КТПН 6/0,4кВ 630кВА №1  КП-15",КП-15,КТПН,eeKTPN,КТПН 1,КП-15,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 5," КТПН 6/0,4кВ 630кВА №1  КП-3",КП-3,КТПН,eeKTPN,КТПН 1,КП-3,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 8," КТПН 6/0,4кВ 630кВА №1 КП-23",КП-23,КТПН,eeKTPN,КТПН 1,КП-23,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 8," КТПН 6/0,4кВ 630кВА №3 КП-23",КП-23,КТПН,eeKTPN,КТПН 3,КП-23,КТПН,eeKTPN,КТПН 3
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 8,"КТПН 6/0,4 кВ 630 кВА №4 КП-23",КП-23,КТПН,eeKTPN,КТПН 4,КП-23,КТПН,eeKTPN,КТПН 4
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 14,"КТПН 6/0,4 кВ 630 кВА №1 КП-2",КП-2,КТПН,eeKTPN,КТПН 1,КП-2,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 14,"КТПН 6/0,4 кВ 630 кВА №2 КП-2",КП-2,КТПН,eeKTPN,КТПН 2,КП-2,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 14,"КТПН 6/0,4 кВ 630 кВА №3 КП-2",КП-2,КТПН,eeKTPN,КТПН 3,КП-2,КТПН,eeKTPN,КТПН 3
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 14,"КТПН 6/0,4 кВ 630 кВА №4 КП-2",КП-2,КТПН,eeKTPN,КТПН 4,КП-2,КТПН,eeKTPN,КТПН 4
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 15,"КТПН 6/0,4 кВ 630 кВА №2 КП-95",КП-95,КТПН,eeKTPN,КТПН 2,КП-95,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 18," КТПН 6/0,4кВ 630кВА №1  КП-64",КП-64,КТПН,eeKTPN,КТПН 1,КП-64,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 18," КТПН 6/0,4кВ 630кВА №1 КП-25",КП-25,КТПН,eeKTPN,КТПН 1,КП-25,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 18," КТПН 6/0,4кВ 630кВА №1 КП-29",КП-29,КТПН,eeKTPN,КТПН 1,КП-29,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 18," КТПН 6/0,4кВ 630кВА №2  КП-25",КП-25,КТПН,eeKTPN,КТПН 2,КП-25,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 18," КТПН 6/0,4кВ 630кВА №2  КП-64",КП-64,КТПН,eeKTPN,КТПН 2,КП-64,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 18,"КТПН 6/0,4 кВ 400кВА  МДНС",,КТПН,eeKTPN,"КТПН 6/0,4 кВ 400кВА  МДНС",,КТПН,eeKTPN,"КТПН 6/0,4 кВ 400кВА  МДНС"
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 18,"КТПН 6/0,4 кВ 630 кВА №1 КП-1",КП-1,КТПН,eeKTPN,КТПН 1,КП-1,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 18,"КТПН 6/0,4 кВ 630 кВА №2 КП-1",КП-1,КТПН,eeKTPN,КТПН 2,КП-1,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 18,"КТПН 6/0,4 кВ 630 кВА №3 КП-1",КП-1,КТПН,eeKTPN,КТПН 3,КП-1,КТПН,eeKTPN,КТПН 3
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 18,"КТПН 6/0,4 кВ 630 кВА №4 КП-1",КП-1,КТПН,eeKTPN,КТПН 4,КП-1,КТПН,eeKTPN,КТПН 4
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 18,"КТПН 6/0,4 кВ 630 кВА №5 КП-1",КП-1,КТПН,eeKTPN,КТПН 5,КП-1,КТПН,eeKTPN,КТПН 5
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 18,"КТПН 6/0,4 кВ 630 кВА №6 КП-1",КП-1,КТПН,eeKTPN,КТПН 6,КП-1,КТПН,eeKTPN,КТПН 6
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 19," КТПН 6/0,4кВ 25 кВА ""Вертодром""",,КТПН,eeKTPN," КТПН 6/0,4кВ 25 кВА ""Вертодром""",,КТПН,eeKTPN," КТПН 6/0,4кВ 25 кВА ""Вертодром"""
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 19," КТПН 6/0,4кВ 630кВА №2 КП-15",КП-15,КТПН,eeKTPN,КТПН 2,КП-15,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 19,"КТПН 6/0,4 кВ 1000кВА №1 КП-14",КП-14,КТПН,eeKTPN,КТПН 1,КП-14,КТПН,eeKTPN,КТПН 1
