Подразделение,Электроустановка,"СШ, №яч.",Дисп. наименование КТП(Н),section_name,section_tap_num,pad_num,ktpn_num,ktpn_object_type,ktpn_primitiveName,ktpn_node_name
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.7," К-35 КТПН 6/0,4 кВ 1000 кВА №1",СШ 6 кВ №1,7,35,1,КТПН,eeKTPN," К-35 КТПН 6/0,4 кВ 1000 кВА №1"
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.7," К-35 КТПН 6/0,4 кВ 1000 кВА №1",СШ 6 кВ №1,7,35,1,КТПН,eeKTPN," К-35 КТПН 6/0,4 кВ 1000 кВА №1"
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.7," К-35 КТПН 6/0,4 кВ 1000 кВА №1",СШ 6 кВ №1,7,35,1,КТПН,eeKTPN," К-35 КТПН 6/0,4 кВ 1000 кВА №1"
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.7," К-35 КТПН 6/0,4 кВ 1000 кВА №1",СШ 6 кВ №1,7,35,1,КТПН,eeKTPN," К-35 КТПН 6/0,4 кВ 1000 кВА №1"
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.7," К-35 КТПН 6/0,4 кВ 1000 кВА №1",СШ 6 кВ №1,7,35,1,КТПН,eeKTPN," К-35 КТПН 6/0,4 кВ 1000 кВА №1"
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.7," К-35 КТПН 6/0,4 кВ 1000 кВА №1",СШ 6 кВ №1,7,35,1,КТПН,eeKTPN," К-35 КТПН 6/0,4 кВ 1000 кВА №1"
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.7," К-35 КТПН 6/0,4 кВ 1000 кВА №1",СШ 6 кВ №1,7,35,1,КТПН,eeKTPN," К-35 КТПН 6/0,4 кВ 1000 кВА №1"
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.7," К-35 КТПН 6/0,4 кВ 1000 кВА №1",СШ 6 кВ №1,7,35,1,КТПН,eeKTPN," К-35 КТПН 6/0,4 кВ 1000 кВА №1"
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.7," К-35 КТПН 6/0,4 кВ 1000 кВА №1",СШ 6 кВ №1,7,35,1,КТПН,eeKTPN," К-35 КТПН 6/0,4 кВ 1000 кВА №1"
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.7," К-35 КТПН 6/0,4 кВ 1000 кВА №1",СШ 6 кВ №1,7,35,1,КТПН,eeKTPN," К-35 КТПН 6/0,4 кВ 1000 кВА №1"
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №2 (; ПБВ; 0)",СШ 6 кВ №2 яч.16," К-35 КТПН 6/0,4 кВ 1000 кВА №2",СШ 6 кВ №2,16,35,2,КТПН,eeKTPN," К-35 КТПН 6/0,4 кВ 1000 кВА №2"
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №2 (; ПБВ; 0)",СШ 6 кВ №2 яч.16," К-35 КТПН 6/0,4 кВ 1000 кВА №2",СШ 6 кВ №2,16,35,2,КТПН,eeKTPN," К-35 КТПН 6/0,4 кВ 1000 кВА №2"
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №2 (; ПБВ; 0)",СШ 6 кВ №2 яч.16," К-35 КТПН 6/0,4 кВ 1000 кВА №2",СШ 6 кВ №2,16,35,2,КТПН,eeKTPN," К-35 КТПН 6/0,4 кВ 1000 кВА №2"
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №2 (; ПБВ; 0)",СШ 6 кВ №2 яч.16," К-35 КТПН 6/0,4 кВ 1000 кВА №2",СШ 6 кВ №2,16,35,2,КТПН,eeKTPN," К-35 КТПН 6/0,4 кВ 1000 кВА №2"
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №2 (; ПБВ; 0)",СШ 6 кВ №2 яч.16," К-35 КТПН 6/0,4 кВ 1000 кВА №2",СШ 6 кВ №2,16,35,2,КТПН,eeKTPN," К-35 КТПН 6/0,4 кВ 1000 кВА №2"
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №2 (; ПБВ; 0)",СШ 6 кВ №2 яч.16," К-35 КТПН 6/0,4 кВ 1000 кВА №2",СШ 6 кВ №2,16,35,2,КТПН,eeKTPN," К-35 КТПН 6/0,4 кВ 1000 кВА №2"
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №2 (; ПБВ; 0)",СШ 6 кВ №2 яч.16," К-35 КТПН 6/0,4 кВ 1000 кВА №2",СШ 6 кВ №2,16,35,2,КТПН,eeKTPN," К-35 КТПН 6/0,4 кВ 1000 кВА №2"
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №2 (; ПБВ; 0)",СШ 6 кВ №2 яч.16," К-35 КТПН 6/0,4 кВ 1000 кВА №2",СШ 6 кВ №2,16,35,2,КТПН,eeKTPN," К-35 КТПН 6/0,4 кВ 1000 кВА №2"
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №2 (; ПБВ; 0)",СШ 6 кВ №2 яч.16," К-35 КТПН 6/0,4 кВ 1000 кВА №2",СШ 6 кВ №2,16,35,2,КТПН,eeKTPN," К-35 КТПН 6/0,4 кВ 1000 кВА №2"
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №2 (; ПБВ; 0)",СШ 6 кВ №2 яч.16," К-35 КТПН 6/0,4 кВ 1000 кВА №2",СШ 6 кВ №2,16,35,2,КТПН,eeKTPN," К-35 КТПН 6/0,4 кВ 1000 кВА №2"
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №2 (; ПБВ; 0)",СШ 6 кВ №2 яч.16," К-35 КТПН 6/0,4 кВ 1000 кВА №2",СШ 6 кВ №2,16,35,2,КТПН,eeKTPN," К-35 КТПН 6/0,4 кВ 1000 кВА №2"
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №2 (; ПБВ; 0)",СШ 6 кВ №2 яч.16," К-35 КТПН 6/0,4 кВ 1000 кВА №2",СШ 6 кВ №2,16,35,2,КТПН,eeKTPN," К-35 КТПН 6/0,4 кВ 1000 кВА №2"
