strid,tr_num,type,nom,station,trans,tr_kv,Электроустановка
КРУ 6 ГТЭС ДНС-2,,КРУ,6,ГТЭС ДНС-2,,,КРУ 6кВ ГТЭС ДНС-2
КРУН 6 ДНС-2,,КРУН,6,ДНС-2,,,КРУН 6 кВ ДНС-2
"ПС 35/6 ""Абазаров""",№1,ПС,35/6,"""Абазаров""",ТР-р 35/6 кВ №1,35/6 кВ,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)"
"ПС 35/6 ""Абазаров""",№2,ПС,35/6,"""Абазаров""",ТР-р 35/6 кВ №2,35/6 кВ,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)"
"ПС 35/6 ""Кузьмин""",№1,ПС,35/6,"""Кузьмин""",ТР-р 35/6 кВ №1,35/6 кВ,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)"
"ПС 35/6 ""Кузьмин""",№2,ПС,35/6,"""Кузьмин""",ТР-р 35/6 кВ №2,35/6 кВ,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)"
"ПС 35/6 ""Норкин""",№1,ПС,35/6,"""Норкин""",ТР-р 35/6 кВ №1,35/6 кВ,"ПС 35/6 кВ ""Норкин"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)"
"ПС 35/6 ""Норкин""",№2,ПС,35/6,"""Норкин""",ТР-р 35/6 кВ №2,35/6 кВ,"ПС 35/6 кВ ""Норкин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)"
"ПС 35/6 ""Рынковой""",№1,ПС,35/6,"""Рынковой""",ТР-р 35/6 кВ №1,35/6 кВ,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)"
"ПС 35/6 ""Рынковой""",№2,ПС,35/6,"""Рынковой""",ТР-р 35/6 кВ №2,35/6 кВ,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)"
"ПС 35/6 ""Салманов""",,ПС,35/6,"""Салманов""",,,"ПС 35/6 кВ ""Салманов"", ТР-р 35/6 кВ № №1 (; ПБВ; 0)"
"ПС 35/6 ""Салманов""",,ПС,35/6,"""Салманов""",,,"ПС 35/6 кВ ""Салманов"", ТР-р 35/6 кВ № №2 (; ПБВ; 0)"
РУ 6 ДНС-1,,РУ,6,ДНС-1,,,РУ 6 кВ ДНС-1
РУ 6 ДНС-2,,РУ,6,ДНС-2,,,РУ 6 кВ ДНС-2
РУ 6 КНС-2,,РУ,6,КНС-2,,,РУ 6 кВ КНС-2
"РУ 6 ЭЦ ""ГПЭС-1""",,РУ,6,"ЭЦ ""ГПЭС-1""",,,"РУ 6 кВ ЭЦ ""ГПЭС-1"""
