Подразделение,Электроустановка,Подразделение_num
с/р №1,"ПС 35/6 кВ ДНС-2, Тр-р 35/6 кВ №2 (; ; 0)",1
с/р №1,"ПС 35/6 кВ ЦПС-2, Тр-р 35/6 кВ №2 (; ; 0)",1
с/р №1,"ПС 35/6 кВ Геолог, ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",1
с/р №1,"ПС 35/6 кВ ДНС Узунская, ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",1
с/р №1,"ПС 35/6 кВ ЦПС-2, Тр-р 35/6 кВ №1 (; ; 0)",1
с/р №1,"ПС 35/6 кВ Куст-120, Тр-р 35/6 кВ №2 (ТОМН 4000/35; ПБВ; +5)",1
с/р №1,"ПС 35/6 кВ Куст-53, Тр-р 35/6 кВ №2 (; ; 0)",1
с/р №1,"ПС 35/6 кВ Куст-53, Тр-р 35/6 кВ №1 (; ; 0)",1
с/р №1,"ПС 35/6 кВ Куст-47, ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",1
с/р №1,"ПС 35/6 кВ Куст-47, ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",1
с/р №1,"ПС 35/6 кВ КНС-4, ТР-р 35/6 кВ №1 (; ПБВ; 0)",1
с/р №1,"ПС 35/6 кВ КНС-4, ТР-р 35/6 кВ №2 (; ПБВ; 0)",1
с/р №1,"ПС 35/6 кВ Куст-224, Тр-р 35/6 кВ №2 (; ; 0)",1
с/р №1,"ПС 35/6 кВ Куст-224, Тр-р 35/6 кВ №1 (; ; 0)",1
с/р №1,"ПС 35/6 кВ КНС-8, Тр-р 35/6 кВ №1 (; ; 0)",1
с/р №1,"ПС 35/6 кВ КНС-8, Тр-р 35/6 кВ №2 (; ; 0)",1
с/р №1,"ПС 35/6 кВ КРС, Тр-р 35/6 кВ №1 (; ПБВ; 0)",1
с/р №1,"ПС 35/6 кВ КРС, Тр-р 35/6 кВ №2 (; ПБВ; 0)",1
с/р №1,"ПС 35/6 кВ Куст-220, ТР-р 35/6 кВ № 2 (; ПБВ; 0)",1
с/р №1,"ПС 35/6 кВ Куст-220, ТР-р 35/6 кВ № 1 (; ПБВ; 0)",1
с/р №1,"ПС 35/6 кВ Куст-211, Тр-р 35/6 кВ №2 (; ; 0)",1
с/р №1,"ПС 35/6 кВ Куст-211, Тр-р 35/6 кВ №1 (; ; 0)",1
с/р №1,РУ 6 кВ БКНС,1
с/р №1,"ПС 35/6 кВ Аригольская-2, Тр-р 35/6 кВ №2 (; ПБВ; 0)",1
с/р №1,"ПС 35/6 кВ Куст-120, Тр-р 35/6 кВ №1 (ТОМН 4000/35; ПБВ; +2)",1
с/р №1,"ПС 35/6 кВ Аригольская, Тр-р 35/6 кВ №2 (; ПБВ; 0)",1
с/р №1,РУ 6 кВ №1 УПН,1
с/р №1,РУ 6 кВ КНС-9,1
с/р №1,РУ 6 кВ №3 новая,1
с/р №1,РУ 6 кВ ДНС-2В,1
с/р №1,"ПС 35/6 кВ Аригольская, Тр-р 35/6 кВ №1 (; ПБВ; 0)",1
с/р №1,"ПС 35/6 кВ Аригольская-2, Тр-р 35/6 кВ №1 (; ПБВ; 0)",1
с/р №1,РУ 6 кВ №4,1
РДП-1,ЗРУ 6 кВ Энергокомплекс КП-41,1
с/р №1,ЗРУ 6 кВ Таежное,1
с/р №1,ЗРУ 6 кВ Мартыновская,1
с/р №1,ЗРУ 6 кВ ДНС Узунская,1
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",10
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",10
с/р №10,"РУ 6 кВ ЭЦ ""ГПЭС-1""",10
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",10
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",10
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",10
с/р №10,РУ 6 кВ ДНС-1,10
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",10
с/р №11,"ПС 35/6 кВ Куст-4, Тр-р 35/6 кВ №1 (; ПБВ; 0)",11
с/р №11,"ПС 35/6 кВ Куст-4, Тр-р 35/6 кВ №2 (; ПБВ; 0)",11
с/р №11,"ЗРУ 6 кВ "" Чистинная""",11
с/р №11,"ПС 35/6 кВ Ачимовская-1, Тр-р 35/6 кВ №1 (; ПБВ; 0)",11
с/р №11,"ПС 35/6 кВ Ачимовская-1, Тр-р 35/6 кВ №2 (; ПБВ; 0)",11
с/р №11,"ПС 35/6 кВ Ачимовская-2, Тр-р 35/6 кВ №2 (; ПБВ; 0)",11
с/р №11,РУ 6 кВ ДНС-1 Чист.,11
с/р №11,РУ 6 кВ ДНС-1 Ачим.,11
с/р №2,"ПС 35/6 кВ Куст-15, Тр-р 35/6 кВ №1 (; ; 0)",2
с/р №2,"ПС 35/6 кВ Куст-15, Тр-р 35/6 кВ №2 (; ; 0)",2
с/р №2,РУ-6 кВ КНС-1 С-Орех.,2
с/р №2,РУ-6 кВ ДНС-1 С-Орех.,2
с/р №2,РУ-6 кВ ДНС-1,2
с/р №2,РУ 6 кВ КНС-1бис,2
с/р №2,"ПС 35/6 кВ ЦПС-1, Тр-р 35/6 кВ №1 (; ; 0)",2
с/р №2,"ПС 35/6 кВ Куст-41, Тр-р 35/6 кВ №2 (; ; 0)",2
с/р №2,"ПС 35/6 кВ Куст-25, Тр-р 35/6 кВ №2 (; ; 0)",2
с/р №2,РУ 6 кВ Мартовское,2
с/р №2,"ПС 35/6 кВ Куст-50, Тр-р 35/6 кВ №2 (; ; 0)",2
с/р №2,РУ-6 кВ КНС-1А,2
с/р №2,"ПС 35/6 кВ Куст-27, Тр-р 35/6 кВ №2 (; ; 0)",2
с/р №2,"ПС 35/6 кВ Куст-37, Тр-р 35/6 кВ №1 (; ; 0)",2
с/р №2,"ПС 35/6 кВ Куст-37, Тр-р 35/6 кВ №2 (; ; 0)",2
с/р №2,"ПС 35/6 кВ Куст-4, Тр-р 35/6 кВ №1 (; ; 0)",2
с/р №2,"ПС 35/6 кВ Куст-50, Тр-р 35/6 кВ №1 (; ; 0)",2
с/р №2,"ПС 35/6 кВ Куст-4, Тр-р 35/6 кВ №2 (; ; 0)",2
с/р №2,"ПС 35/6 кВ Куст-43, Тр-р 35/6 кВ №2 (; ; 0)",2
с/р №2,"ПС 35/6 кВ Куст-41, Тр-р 35/6 кВ №1 (; ; 0)",2
с/р №2,"ПС 35/6 кВ Куст-43, Тр-р 35/6 кВ №1 (; ; 0)",2
с/р №2,"ПС 35/6 кВ Куст-25, Тр-р 35/6 кВ №1 (; ; 0)",2
с/р №2,"ПС 35/6 кВ Куст-27, Тр-р 35/6 кВ №1 (; ; 0)",2
с/р №2,"ПС 35/6 кВ Западная, Тр-р 35/6 кВ №1 (ТОМН 4000/35; ПБВ; 0)",2
с/р №2,"ПС 35/6 кВ Западная, Тр-р 35/6 кВ №2 (ТОМН 4000/35; ПБВ; 0)",2
с/р №2,ЗРУ 6 кВ Еловая,2
с/р №2,"ПС 35/6 кВ КНС-2, Тр-р 35/6 кВ №1 (; ПБВ; 0)",2
с/р №2,"ПС 35/6 кВ КНС-2, Тр-р 35/6 кВ №2 (; ПБВ; 0)",2
с/р №2,"ПС 35/6 кВ КНС-2бис, Тр-р 35/6 кВ №1 (; ; 0)",2
с/р №2,"ПС 35/6 кВ КНС-2бис, Тр-р 35/6 кВ №2 (; ; 0)",2
с/р №3,"ПС 35/6 кВ №186, ТР-р 35/6 кВ №1 (; ПБВ; 0)",3
