Подразделение,Электроустановка,Подразделение_num
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",10
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",10
с/р №10,"РУ 6 кВ ЭЦ ""ГПЭС-1""",10
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",10
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",10
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",10
с/р №10,РУ 6 кВ ДНС-1,10
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",10
с/р №9,"ПС 35/6 кВ ""Салманов"", ТР-р 35/6 кВ № №1 (; ПБВ; 0)",9
с/р №9,КРУН 6 кВ ДНС-2,9
с/р №9,"ПС 35/6 кВ ""Норкин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",9
с/р №9,РУ 6 кВ ДНС-2,9
с/р №9,"ПС 35/6 кВ ""Норкин"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",9
с/р №9,КРУ 6кВ ГТЭС ДНС-2,9
с/р №9,"ПС 35/6 кВ ""Салманов"", ТР-р 35/6 кВ № №2 (; ПБВ; 0)",9

