num;user_name;110/35/6_substation_name;35Kv_line_name;ps_name;6Kv_line_name;ktpn_name;department;device_num;№ ТТ;кТ;Номер SIM-КАРТЫ;Дата наладки ууээ/ дата подключения потребителя;Показания на начало месяца, кВт*ч;Показания на конец месяца, кВт*ч;Расход, кВт*ч;Реквизиты акта приемки ПУ;Примечание
1.0;"ООО  ""СпецТрансСервис"" ";ПС110/35/6кВ Жагрин;9;ПС35/6кВ Абазаров;18;КТПН 6/0,4кВ 400кВА  МДНС-1;10;№ 1112180223 сетевой адрес - 5;"014514
014521
014522";30;"897010220501373030

+79222511429";;7148.9664;7620.82;14155.607999999984;№0635 от 18.05.19г.,                                                                №1271 от 17.02.20г.;"Шкаф учета на балансе                                     ООО ""МЭН"""
2.0;"ООО ""СибСтройЭнерго""";ПС110/35/6кВ Жагрин;9;ПС35/6кВ Абазаров;18;КТПН 6/0,4кВ 400кВА  МДНС-1;10;"№ 1111180791
сетевой адрес-11";"008108
008096
008126";40;"897010220501373535

+79222509170";;1663.7224;1883.5196;8791.887999999999;№1256 от 17.02.20г.;"Шкаф учета на балансе                                                  ООО ""МЭН"""
3.0;"ООО ""СПС""";ПС110/35/6кВ Жагрин;9;ПС35/6кВ Абазаров;18;КТПН 6/0,4кВ 400кВА  МДНС-1;10;"№ 1111181317
сетевой адрес  13
";"008090
008084
008078";40;"897010220501373519

+79222508581";;690.9752;Узел учёта демонтирован, съехали.;;№1257 от 17.02.20г.;"Шкаф учета на балансе                                            ООО ""МЭН"""
4.0;"ПАО ""МегаФон""";ПС110/35/6кВ Жагрин;;"РУ-6 кВ  ""ДНС-1""";11;БКТП 6/0,4кВ  2*630 кВА Жил.поселок;10;"№ 11111780912
сетевой адрес  18";"9056368
9056321
9056318";20;+79222570595;;1145.1852;1232.3536;1743.3680000000004;№1266/69 от 17.02.20г.;"Шкаф учета на балансе                                                  ООО ""МЭН"""
5.0;"ООО ""НСТ""";ПС110/35/6кВ Жагрин;;"РУ-6 кВ  ""ДНС-1""";12;"КТПН 6/0,4 кВ 400 кВА ""ДНС-1""";10;№ 1111172762 сетевой адрес  19;"9011541
9011531
9011537";40;+79222512658;;9797.2544;11336.81;61582.22399999999;№1261/153 от 17.02.20г.;"Шкаф учета на балансе                                                ООО ""МЭН"""
6.0;"ООО ""ВИУР""";ПС110/35/6кВ Жагрин;;"РУ-6 кВ  ""ДНС-1""";11;"БКТП 6/0,4 кВ 2*630 кВА ""Жил.поселок""";10;№ 1111181397 сетевой адрес  21;"9056329
9056378
9056382";20;+79222505780;;815.592;984.4196;3376.551999999999;№1270/206 от 17.02.20г.;"Шкаф учета на балансе                                                        ООО ""МЭН"""
7.0;"ОАО ""ННГФ""";ПС110/35/6кВ Жагрин;13;ПС35/6кВ Рынковой;13;КТПН-6/0,4 кВ № 1 630 кВА КП-16;10;"№ 1111180875
сетевой адрес-9";"014519
014518
014505";30;"897010220501373006

+79222509577";;3996.6388;4450.3384;13610.987999999983;№1272 от 17.02.20г.;"Шкаф учета на балансе                                             ООО ""МЭН"""
8.0;" ПАО Газпромнефть-Снабжение""";ПС110/35/6кВ Жагрин;;РУ 6 кВ ДНС-1;12;КТПН 6/0,4кВ 400 кВА  ДНС-1;10;"№ 1111181006
сетевой арес 6";"004831
004826
004784";30;"897010220501373378

+79222507981";;5067.6208;5663.29;17870.07600000001;№1269 от 17.02.20г.;"Шкаф учета на балансе                                     ООО ""МЭН"""
9.0;"ЗАО ""Нефтьстройинвест""";ПС110/35/6кВ Жагрин;;"РУ-6 кВ  ""ДНС-1""";11;БКТП  6/0,4 кВ 2*630 кВа Жил. поселок;10;1107190009 сетевой адрес  22;" 9008574
9008576
9008578";40;+79222571195;;7060.7276;7614.4568;22149.16799999999;№б/н от 04.12.19г.;"Шкаф учета на балансе                            ООО ""МЭН"""
10.0;"ООО ""ИнТех""";ПС110/35/6кВ Жагрин;;"РУ-6 кВ  ""ДНС-1""";12;"КТПН 6/0,4 кВ 400 кВА ""ДНС-1""";10;№1111172770 сетевой адрес  15;"9056327
9056369
9056385";1;+79222502774;;;;0.0;;Потребитель не выполнил ТУ к договору ТП. Подключен не через шкаф учета.
