IDOBJECT,NAME_OBJECT,IDTYPE_OBJECT,UUID,GMT_SHIFT,CONTROL_POWER,INZONE_ONLY,CONTROL_HOLES,CONTROL_HOUR,TARIF,IDCTG,DAYLIGHT,IDTGROUP,IDMAXPOWER,SHORT_NAME
1,172.16.22.9,1,{F468AADA-241F-44F3-8EDB-A2C051DE06AF},,0,False,,,,,True,,,
2,Дерево тех процессов,3,{708767FB-48B3-4806-BCD4-C7281D2B83BF},,0,False,,,,,True,,,
3,АНГДУ,3,{777C227D-163E-42FC-94B2-6923C59CCC17},,0,False,,,,,True,,,
4,Аганское м/р,3,{B5208D82-0537-45E8-8166-68EDE5B80CFB},,0,False,,,,,True,,,
5,Закачка,3,{43153AF5-2613-4880-8111-D7495DE24BA1},,0,False,,,,,True,,,
6,М.добыча,3,{41233338-11CF-4B9F-A9CA-4B49EA44C889},,0,False,,,,,True,,,
7,Общепромысловые,3,{223E0D51-FD83-4DB7-B34E-4C77377067B0},,0,False,,,,,True,,,
8,Перекачка,3,{297A2BE4-83B7-4318-AEC2-BE3F18280CA9},,0,False,,,,,True,,,
9,Ачимовское м/р,3,{26363F27-BAB7-4678-9D90-29ADF8283645},,0,False,,,,,True,,,
10,Ачимовское м/р,3,{7165BF0A-1851-4C1D-8FD3-C4AA2C474285},,0,False,,,,,True,,,
11,Закачка,3,{35D1D684-2687-4CA1-B687-12C15AE2E3BD},,0,False,,,,,True,,,
12,Общепромысловые,3,{B7BDF3F7-7944-4E54-90AB-D85CDE25F98F},,0,False,,,,,True,,,
13,Перекачка,3,{3B59C1E8-D6AE-4AF8-A862-E5802936C68D},,0,False,,,,,True,,,
14,Сбор и транспорт газа,3,{1724353D-FA23-47B2-AB8E-34FB96E4F2ED},,0,False,,,,,True,,,
15,Западно-Асомкинское м/р,3,{6BA6319F-1551-4998-A451-014367E61EBA},,0,False,,,,,True,,,
16,Внутрипромысловая перекачка,3,{A704CE5E-C00F-4C32-B38D-71E8212DC3DF},,0,False,,,,,True,,,
17,Закачка,3,{34608BCE-56D0-46E6-9D69-F0C8DE3F71A4},,0,False,,,,,True,,,
18,Мех.добыча,3,{D9A9DED4-0A36-4FB2-85BD-CCD8ECFAA3C4},,0,False,,,,,True,,,
19,Потребление баз,3,{8D4671B4-F766-438B-8080-F56EC7F16FA0},,0,False,,,,,True,,,
20,Кетовское м/р,3,{9D95427B-A3D3-4740-8A4F-7D0E51444192},,0,False,,,,,True,,,
21,Закачка,3,{F9E947A3-3746-4ED9-8E21-10EFD03A675B},,0,False,,,,,True,,,
22,Кетовское м/р,3,{5C33AA17-5E68-4988-899D-CDE4527EE380},,0,False,,,,,True,,,
23,Общепромысловые,3,{4C3A56C4-B9F3-4511-A992-4D378646B2E1},,0,False,,,,,True,,,
24,Перекачка,3,{CAD72630-C0BE-4523-AAFA-B6C68619C127},,0,False,,,,,True,,,
25,Сбор и транспорт газа,3,{7B0E4B5F-3401-4B9C-A704-AA2C7C41FA67},,0,False,,,,,True,,,
26,Мегионское м/р,3,{BBF06ACE-1154-4AC2-84A8-016A24E63895},,0,False,,,,,True,,,
27,Закачка,3,{ABA1934B-FB7E-459B-BC10-958ED6D67E4D},,0,False,,,,,True,,,
