parentName,primitiveName,primitiveID,Name,object_type,Электроустановка
"Жагрин ф-1",eeSubstation,eeSubstation_149,Абазаров,ПС 35/6 кВ,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)"
"Жагрин ф-1",eeSubstation,eeSubstation_148,Абазаров,ПС 35/6 кВ,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)"
"Жагрин ЗРУ-6кВ",eeRu,,ДНС-1,РУ 6 кВ,РУ 6 кВ ДНС-1
"Жагрин ф-3",eeSubstation,eeSubstation_151,Кузьмин,ПС 35/6 кВ,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)"
"Жагрин ф-3",eeSubstation,eeSubstation_150,Кузьмин,ПС 35/6 кВ,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)"
"ПС 6/35кВ ГТЭС «ДНС-2»",eeSubstation,eeSubstation_153,Норкин,ПС 35/6 кВ,"ПС 35/6 кВ ""Норкин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)"
"ПС 6/35кВ ГТЭС «ДНС-2»",eeSubstation,eeSubstation_152,Норкин,ПС 35/6 кВ,"ПС 35/6 кВ ""Норкин"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)"
"Жагрин ф-6",eeSubstation,eeSubstation_153,Норкин,ПС 35/6 кВ,"ПС 35/6 кВ ""Норкин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)"
"Жагрин ф-6",eeSubstation,eeSubstation_152,Норкин,ПС 35/6 кВ,"ПС 35/6 кВ ""Норкин"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)"
"Жагрин ф-3",eeSubstation,eeSubstation_155,Рынковой,ПС 35/6 кВ,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)"
"Жагрин ф-3",eeSubstation,eeSubstation_154,Рынковой,ПС 35/6 кВ,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)"
"ПС 6/35кВ ГТЭС «ДНС-2»",eeSubstation,eeSubstation_157,Салманов,ПС 35/6 кВ,"ПС 35/6 кВ ""Салманов"", ТР-р 35/6 кВ № №1 (; ПБВ; 0)"
"ПС 6/35кВ ГТЭС «ДНС-2»",eeSubstation,eeSubstation_156,Салманов,ПС 35/6 кВ,"ПС 35/6 кВ ""Салманов"", ТР-р 35/6 кВ № №2 (; ПБВ; 0)"
"Жагрин ф-6",eeSubstation,eeSubstation_157,Салманов,ПС 35/6 кВ,"ПС 35/6 кВ ""Салманов"", ТР-р 35/6 кВ № №1 (; ПБВ; 0)"
"Жагрин ф-6",eeSubstation,eeSubstation_156,Салманов,ПС 35/6 кВ,"ПС 35/6 кВ ""Салманов"", ТР-р 35/6 кВ № №2 (; ПБВ; 0)"



