__well_num,__deposit,__pad_num,node_name_start,p_plast,_time,loss,model_kwh,node_id,source
401,Тайлаковское,40б,plast_к.40б__скв.401,207,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4 кВ 1000кВА №2 КП-40 Б 401,0
401,Тайлаковское,40б,plast_к.40б__скв.401,207,1680271263,0,0,Тайлаковское 40б 401,0
4304,Тайлаковское,43,plast_к.43__скв.4304,224,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4 кВ 630кВА №2 КП-43 4304,0
4304,Тайлаковское,43,plast_к.43__скв.4304,224,1680271263,0,0,Тайлаковское 43 4304,0
1415,Тайлаковское,55,plast_к.55__скв.1415,231,1680271263,0,0,Тайлаковское 55 1415,0
883,Тайлаковское,88,plast_к.88__скв.883,198,1680271263,0,0,Тайлаковское 88 883,0
3742,Тайлаковское,37,plast_к.37__скв.3742,240,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4кВ 630кВА №1 КП-37 3742,0
3742,Тайлаковское,37,plast_к.37__скв.3742,240,1680271263,0,0,Тайлаковское 37 3742,0
98,Тайлаковское,96,plast_к.96__скв.98,195,1680271263,0,0,Тайлаковское 96 98,0
412,Тайлаковское,40б,plast_к.40б__скв.412,212,1680271263,0,0,Тайлаковское 40б 412,0
1508,Тайлаковское,45,plast_к.45__скв.1508,232,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4кВ 1000кВА №2 КП-45 1508,0
1508,Тайлаковское,45,plast_к.45__скв.1508,232,1680271263,0,0,Тайлаковское 45 1508,0
1500,Тайлаковское,45,plast_к.45__скв.1500,241,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4кВ 1000кВА №2 КП-45 1500,0
1500,Тайлаковское,45,plast_к.45__скв.1500,241,1680271263,0,0,Тайлаковское 45 1500,0
6003,Тайлаковское,44,plast_к.44__скв.6003,224,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4 кВ 1000кВА №2 КП-44 6003,0
6003,Тайлаковское,44,plast_к.44__скв.6003,224,1680271263,0,0,Тайлаковское 44 6003,0
1906,Тайлаковское,71,plast_к.71__скв.1906,190,1680271263,0,0,Тайлаковское 71 1906,0
1620,Тайлаковское,88,plast_к.88__скв.1620,198,1680271263,0,0,Тайлаковское 88 1620,0
1903,Тайлаковское,71,plast_к.71__скв.1903,188,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4 кВ 1000 кВА №2 КП-71 1903,0
1903,Тайлаковское,71,plast_к.71__скв.1903,188,1680271263,0,0,Тайлаковское 71 1903,0
1626,Тайлаковское,88,plast_к.88__скв.1626,197,1680271263,0,0,Тайлаковское 88 1626,0
1907,Тайлаковское,71,plast_к.71__скв.1907,261,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4 кВ 1000 кВА №2 КП-71 1907,0
1907,Тайлаковское,71,plast_к.71__скв.1907,261,1680271263,0,0,Тайлаковское 71 1907,0
5999,Тайлаковское,44,plast_к.44__скв.5999,228,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4 кВ 1000кВА №1 КП-44 5999,0
5999,Тайлаковское,44,plast_к.44__скв.5999,228,1680271263,0,0,Тайлаковское 44 5999,0
