Подразделение,Электроустановка,"СШ, №яч.",Дисп. наименование КТП(Н),"S, кВА","I ном., А",№ авт. (тип),"I ном.авт., А","Тип блока защит АВ-0,4кВ","Прогрузка АВ-0,4кВ",Уставка МТЗ,Уставка МТО,Диап. рег. уст. МТЗ,Диап. рег. уст. МТО,Потребитель,"ЭЦН, ШГН","Р факт., кВт",Состояние,"I факт., А","Загр. КТПН, %","U факт. КТПН, В",ПБВ Кол-во,ПБВ Полож.,Дата замера,"U на СУ, В",Селективность действия защит,"Qжидк., куб.м./с","Qн., тонн","Время АПВ, мин.",Рем. № КТПН
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.7," К-35 КТПН 6/0,4 кВ 1000 кВА №1",1000,1445.1,0(ВА-СЭЩ В-АN-16Дз-16Н),1600.0,,2015,0.0,0.0,,,Вводной,,0.0,,198.0,0.0,392.0,5,3,2022-06-28,0.0,,0.0,0.0,0.0,
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.7," К-35 КТПН 6/0,4 кВ 1000 кВА №1",1000,1445.1,1(TS630N),630.0,,2015,0.0,0.0,,,БСК,,0.0,Остановлен,0.0,0.0,392.0,5,3,2022-06-28,0.0,,0.0,0.0,0.0,
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.7," К-35 КТПН 6/0,4 кВ 1000 кВА №1",1000,1445.1,2(ВА 55-41),1000.0,,2015,0.0,0.0,,,Резерв,,0.0,,0.0,0.0,392.0,5,3,2022-06-28,0.0,,0.0,0.0,0.0,
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.7," К-35 КТПН 6/0,4 кВ 1000 кВА №1",1000,1445.1,3(TS630N),630.0,,2015,0.0,0.0,,,854,ЭЦН,0.0,Запущен,0.0,0.0,392.0,5,3,2022-06-28,0.0,,0.0,0.0,0.0,
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.7," К-35 КТПН 6/0,4 кВ 1000 кВА №1",1000,1445.1,4(TS400N),400.0,,2015,0.0,0.0,,,853,ЭЦН,32.0,Запущен,102.0,0.0,392.0,5,3,2022-06-28,0.0,,0.0,0.0,0.0,
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.7," К-35 КТПН 6/0,4 кВ 1000 кВА №1",1000,1445.1,5(TS400N),400.0,,2015,0.0,0.0,,,850,ЭЦН,40.0,Запущен,0.0,0.0,392.0,5,3,2022-06-28,0.0,,0.0,0.0,0.0,
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.7," К-35 КТПН 6/0,4 кВ 1000 кВА №1",1000,1445.1,6(TS250N),250.0,,2015,0.0,0.0,,,856,ЭЦН,0.0,Запущен,95.0,0.0,392.0,5,3,2022-06-28,0.0,,0.0,0.0,0.0,
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.7," К-35 КТПН 6/0,4 кВ 1000 кВА №1",1000,1445.1,7(ВА 51-37),630.0,,2015,0.0,0.0,,,резерв,,0.0,,0.0,0.0,392.0,5,3,2022-06-28,0.0,,0.0,0.0,0.0,
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.7," К-35 КТПН 6/0,4 кВ 1000 кВА №1",1000,1445.1,8(TS160N),160.0,,2015,0.0,0.0,,,БМА/МП,,0.0,Запущен,1.0,0.0,392.0,5,3,2022-06-28,0.0,,0.0,0.0,0.0,
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.7," К-35 КТПН 6/0,4 кВ 1000 кВА №1",1000,1445.1,9(TD100N),63.0,,2015,0.0,0.0,,,ПРС,,0.0,,0.0,0.0,392.0,5,3,2022-06-28,0.0,,0.0,0.0,0.0,
