pad,well,row_type,node_id_start,node_name_start,node_name,node_name2,startKind,startValue,endIsOutlet,choke_diam
13,447,injection_well,к.13,к.13,к.13__скв.447,к.13__скв.447,Q,3.11,1,12
4,7,injection_well,к.4,к.4,к.4__скв.7,к.4__скв.7,Q,0.16,1,32
12,28,injection_well,к.12,к.12,к.12__скв.28,к.12__скв.28,Q,1.89,1,32
122,551,injection_well,к.122,к.122,к.122__скв.551,к.122__скв.551,Q,0.57,1,
27,522,injection_well,к.27,к.27,к.27__скв.522,к.27__скв.522,Q,0,1,32
22,544,injection_well,к.22,к.22,к.22__скв.544,к.22__скв.544,Q,1.9,1,32
4,462,injection_well,к.4,к.4,к.4__скв.462,к.4__скв.462,Q,0.4,1,32
29,647,injection_well,к.29,к.29,к.29__скв.647,к.29__скв.647,Q,0,1,
4,16,injection_well,к.4,к.4,к.4__скв.16,к.4__скв.16,Q,0.22,1,32
3,35,injection_well,к.3,к.3,к.3__скв.35,к.3__скв.35,Q,0.8,1,32
23б,488,injection_well,к.23б,к.23б,к.23б__скв.488,к.23б__скв.488,Q,0.33,1,32
25,644,injection_well,к.25,к.25,к.25__скв.644,к.25__скв.644,Q,0.09,1,32
12,31,injection_well,к.12,к.12,к.12__скв.31,к.12__скв.31,Q,0.61,1,32
95,1973,injection_well,к.95,к.95,к.95__скв.1973,к.95__скв.1973,Q,1.83,1,5
27,656,injection_well,к.27,к.27,к.27__скв.656,к.27__скв.656,Q,0.38,1,32
1,73,injection_well,к.1,к.1,к.1__скв.73,к.1__скв.73,Q,0.99,1,7
27,659,injection_well,к.27,к.27,к.27__скв.659,к.27__скв.659,Q,0,1,32
30,3708излив,injection_well,к.30,к.30,к.30__скв.3708излив,к.30__скв.3708излив,Q,0.1,1,
3,33,injection_well,к.3,к.3,к.3__скв.33,к.3__скв.33,Q,4.67,1,7
22,622,injection_well,к.22,к.22,к.22__скв.622,к.22__скв.622,Q,0.22,1,
38,446,injection_well,к.38,к.38,к.38__скв.446,к.38__скв.446,Q,2.52,1,3
3,541,injection_well,к.3,к.3,к.3__скв.541,к.3__скв.541,Q,0.1,1,32
2,55,injection_well,к.2,к.2,к.2__скв.55,к.2__скв.55,Q,5.66,1,9
16,425,injection_well,к.16,к.16,к.16__скв.425,к.16__скв.425,Q,0,1,
118,683н,injection_well,к.118,к.118,к.118__скв.683н,к.118__скв.683н,Q,1.83,1,
17,413,injection_well,к.17,к.17,к.17__скв.413,к.17__скв.413,Q,0.38,1,32
27,657,injection_well,к.27,к.27,к.27__скв.657,к.27__скв.657,Q,0,1,
12,18,injection_well,к.12,к.12,к.12__скв.18,к.12__скв.18,Q,0.85,1,3
2,481,injection_well,к.2,к.2,к.2__скв.481,к.2__скв.481,Q,3.09,1,32
2,47,injection_well,к.2,к.2,к.2__скв.47,к.2__скв.47,Q,3.89,1,5
38,441,injection_well,к.38,к.38,к.38__скв.441,к.38__скв.441,Q,0.25,1,32
2,77,injection_well,к.2,к.2,к.2__скв.77,к.2__скв.77,Q,1.72,1,32
12,599,injection_well,к.12,к.12,к.12__скв.599,к.12__скв.599,Q,2.41,1,7
27,528,injection_well,к.27,к.27,к.27__скв.528,к.27__скв.528,Q,0,1,
27,530,injection_well,к.27,к.27,к.27__скв.530,к.27__скв.530,Q,0.31,1,32
83,4601н,injection_well,к.83,к.83,к.83__скв.4601н,к.83__скв.4601н,Q,1.04,1,
29,678,injection_well,к.29,к.29,к.29__скв.678,к.29__скв.678,Q,1.21,1,32
64,3825,injection_well,к.64,к.64,к.64__скв.3825,к.64__скв.3825,Q,0.01,1,
1,72,injection_well,к.1,к.1,к.1__скв.72,к.1__скв.72,Q,0.72,1,32
13,456,injection_well,к.13,к.13,к.13__скв.456,к.13__скв.456,Q,1.76,1,32
64,3827,injection_well,к.64,к.64,к.64__скв.3827,к.64__скв.3827,Q,3.28,1,7
22,554,injection_well,к.22,к.22,к.22__скв.554,к.22__скв.554,Q,0,1,
29,650,injection_well,к.29,к.29,к.29__скв.650,к.29__скв.650,Q,0.78,1,32
23б,480,injection_well,к.23б,к.23б,к.23б__скв.480,к.23б__скв.480,Q,1.6,1,10
23б,500,injection_well,к.23б,к.23б,к.23б__скв.500,к.23б__скв.500,Q,1.45,1,5
38,457,injection_well,к.38,к.38,к.38__скв.457,к.38__скв.457,Q,1.19,1,32
30,3708,injection_well,к.30,к.30,к.30__скв.3708,к.30__скв.3708,Q,0.73,1,32
38,440,injection_well,к.38,к.38,к.38__скв.440,к.38__скв.440,Q,2.49,1,4.333333333333333
1,86,injection_well,к.1,к.1,к.1__скв.86,к.1__скв.86,Q,1.15,1,7
83,4603н,injection_well,к.83,к.83,к.83__скв.4603н,к.83__скв.4603н,Q,0.04,1,
23б,499,injection_well,к.23б,к.23б,к.23б__скв.499,к.23б__скв.499,Q,0,1,32
4,9,injection_well,к.4,к.4,к.4__скв.9,к.4__скв.9,Q,0.39,1,32
1,63,injection_well,к.1,к.1,к.1__скв.63,к.1__скв.63,Q,1.15,1,5
25,490,injection_well,к.25,к.25,к.25__скв.490,к.25__скв.490,Q,2,1,32
1,79,injection_well,к.1,к.1,к.1__скв.79,к.1__скв.79,Q,3.06,1,8
23б,501,injection_well,к.23б,к.23б,к.23б__скв.501,к.23б__скв.501,Q,1.25,1,8
2,552,injection_well,к.2,к.2,к.2__скв.552,к.2__скв.552,Q,0.29,1,32
29,675,injection_well,к.29,к.29,к.29__скв.675,к.29__скв.675,Q,0.06,1,32
23б,493,injection_well,к.23б,к.23б,к.23б__скв.493,к.23б__скв.493,Q,1.7,1,6
4,453,injection_well,к.4,к.4,к.4__скв.453,к.4__скв.453,Q,3.44,1,10
22,632,injection_well,к.22,к.22,к.22__скв.632,к.22__скв.632,Q,0,1,
15,202,injection_well,к.15,к.15,к.15__скв.202,к.15__скв.202,Q,0.15,1,7
14,1114,injection_well,к.14,к.14,к.14__скв.1114,к.14__скв.1114,Q,2.22,1,5
12,27,injection_well,к.12,к.12,к.12__скв.27,к.12__скв.27,Q,4.54,1,7
2,539,injection_well,к.2,к.2,к.2__скв.539,к.2__скв.539,Q,4.13,1,32
25,636,injection_well,к.25,к.25,к.25__скв.636,к.25__скв.636,Q,0.9,1,
38,426,injection_well,к.38,к.38,к.38__скв.426,к.38__скв.426,Q,0.01,1,
12,32,injection_well,к.12,к.12,к.12__скв.32,к.12__скв.32,Q,0.37,1,32
122,547,injection_well,к.122,к.122,к.122__скв.547,к.122__скв.547,Q,1.65,1,6
2,618,injection_well,к.2,к.2,к.2__скв.618,к.2__скв.618,Q,2.99,1,5
118,681,injection_well,к.118,к.118,к.118__скв.681,к.118__скв.681,Q,2.68,1,32
1,83,injection_well,к.1,к.1,к.1__скв.83,к.1__скв.83,Q,1.8,1,32
4,464,injection_well,к.4,к.4,к.4__скв.464,к.4__скв.464,Q,0.94,1,32
1,2в,injection_well,к.1,к.1,к.1__скв.2в,к.1__скв.2в,Q,6.93,1,
22,550,injection_well,к.22,к.22,к.22__скв.550,к.22__скв.550,Q,0.08,1,
13,445,injection_well,к.13,к.13,к.13__скв.445,к.13__скв.445,Q,0.3,1,32
29,673,injection_well,к.29,к.29,к.29__скв.673,к.29__скв.673,Q,1.62,1,5
12,30,injection_well,к.12,к.12,к.12__скв.30,к.12__скв.30,Q,0,1,
4,534,injection_well,к.4,к.4,к.4__скв.534,к.4__скв.534,Q,0.82,1,32
4,17,injection_well,к.4,к.4,к.4__скв.17,к.4__скв.17,Q,0.01,1,32
27,516,injection_well,к.27,к.27,к.27__скв.516,к.27__скв.516,Q,0.63,1,32
27,651,injection_well,к.27,к.27,к.27__скв.651,к.27__скв.651,Q,0,1,
15,206,injection_well,к.15,к.15,к.15__скв.206,к.15__скв.206,Q,0.96,1,3
64,3822,injection_well,к.64,к.64,к.64__скв.3822,к.64__скв.3822,Q,0,1,32
16,427,injection_well,к.16,к.16,к.16__скв.427,к.16__скв.427,Q,0,1,
23б,505,injection_well,к.23б,к.23б,к.23б__скв.505,к.23б__скв.505,Q,1.24,1,32
27,654,injection_well,к.27,к.27,к.27__скв.654,к.27__скв.654,Q,0.59,1,8
2,45,injection_well,к.2,к.2,к.2__скв.45,к.2__скв.45,Q,2.13,1,8
122,553,injection_well,к.122,к.122,к.122__скв.553,к.122__скв.553,Q,0.32,1,6
3,57,injection_well,к.3,к.3,к.3__скв.57,к.3__скв.57,Q,0.57,1,32
38,429,injection_well,к.38,к.38,к.38__скв.429,к.38__скв.429,Q,0.99,1,32
29,638,injection_well,к.29,к.29,к.29__скв.638,к.29__скв.638,Q,0.81,1,32
23б,497,injection_well,к.23б,к.23б,к.23б__скв.497,к.23б__скв.497,Q,2.42,1,5
23б,504,injection_well,к.23б,к.23б,к.23б__скв.504,к.23б__скв.504,Q,1.87,1,5
12,29,injection_well,к.12,к.12,к.12__скв.29,к.12__скв.29,Q,1.87,1,32
2,69,injection_well,к.2,к.2,к.2__скв.69,к.2__скв.69,Q,3.78,1,7
64,3828,injection_well,к.64,к.64,к.64__скв.3828,к.64__скв.3828,Q,3.42,1,32
16,439,injection_well,к.16,к.16,к.16__скв.439,к.16__скв.439,Q,1.07,1,32
27,660,injection_well,к.27,к.27,к.27__скв.660,к.27__скв.660,Q,0.92,1,32
4,4,injection_well,к.4,к.4,к.4__скв.4,к.4__скв.4,Q,2.74,1,6
25,641,injection_well,к.25,к.25,к.25__скв.641,к.25__скв.641,Q,0.82,1,32
