,row_type,node_name_start,node_id_start,node_id_end,node_name_end,X_start,X_end,Y_start,Y_end,start_kind,start_value,start_T,end_kind,end_value,end_T,start_is_source,startIsOutlet,end_is_source,endIsOutlet,altitude_start,altitude_end,L,d,s,uphillM,effectiveD,intD,roughness,perforation,pumpDepth,model,frequency,productivity,predict_mode,shtr_debit,K_pump,VolumeWater,choke_diam,p_start,q_start,p_end,q_end,startP,startT,endP,endT,start_Q_m3_day,end_Q_m3_day,res_watercut_percent,res_liquid_density_kg_m3,res_pump_power_watt,X_kg_sec,velocity_m_sec
0,pipe,уз.в к23,уз.в к23,к.23б,к.23б,436762.374817286,436781.68,6545527.75246428,6545404.95,,,20,,,,False,False,,False,70.3,,154,0.168,0.016,,0.46,0.168,1e-05,,,,,,,,,,,,,,,164.61697957552002,20.0,163.57983638443812,20.0,,,100,1000,,11.86,0.5350276806316558
1,pipe,уз.в к17,уз.в к17,к.30,к.30,443750.3,446283.29,6555182.86,6561199.87,,,20,,,,False,False,,False,71.0,,6879,0.114,0.011,,0.46,0.114,1e-05,,,,,,,,,,,,,,,212.25250800006307,20.0,209.64444155028093,20.0,,,100,1000,,0.83,0.08131646969506456
2,pipe,уз. в к27,уз. в к27,к.27,к.27,444124.969261252,445689.07,6552687.34763735,6551811.93,,,20,,,,False,False,,False,75.3,,2292,0.114,0.011,,0.46,0.114,1e-05,,,,,,,,,,,,,,,211.5817057006463,20.0,203.9200068537269,20.0,,,100,1000,,2.8299999999999996,0.2772597701650996
3,pipe,т.вр. в к3,т.вр. в к3,к.3,к.3,440352.655068217,440294.71,6548656.14825052,6548535.3,,,20,,,,False,False,,False,90.0,,116,0.114,0.011,,0.46,0.114,1e-05,,,,,,,,,,,,,,,199.55843779767523,20.0,197.98835301562715,20.0,,,100,1000,,6.14,0.6015459324430077
4,pipe,вр.к.17,вр.к.17,к.17,к.17,445737.09,445738.33,6555111.83,6555101.4,,,20,,,,False,False,,False,72.2,,6,0.168,0.016,,0.46,0.168,1e-05,,,,,,,,,,,,,,,212.12619795476573,20.0,212.12610704545915,20.0,,,100,1000,,0.38,0.01714253951433636
5,pipe,уз.в к17,уз.в к17,к.83,к.83,443750.3,443613.12,6555182.86,6556067.31,,,20,,,,False,False,,False,71.0,,1574,0.168,0.016,,0.46,0.168,1e-05,,,,,,,,,,,,,,,212.25250800006307,20.0,212.1033505134038,20.0,,,100,1000,,1.08,0.048720901777587554
6,pipe,т.вр. к25,т.вр. к25,к.25,к.25,440901.12,441032.833356061,6546589.55,6544877.67526717,,,20,,,,False,False,,False,79.0,,2097,0.114,0.011,,0.46,0.114,1e-05,,,,,,,,,,,,,,,217.12324097749794,20.0,205.16749777559852,20.0,,,100,1000,,3.8099999999999996,0.37327198739541684
7,pipe,уз. в к12,уз. в к12,к.12,к.12,437713.23539982,437701.59,6550225.12818923,6550241.15,,,20,,,,False,False,,False,96.0,,18,0.168,0.016,,0.46,0.168,1e-05,,,,,,,,,,,,,,,190.22999745038737,20.0,190.09583577454873,20.0,,,100,1000,,12.54,0.5657038039730998
8,pipe,уз.в к38,уз.в к38,к.64,к.64,439186.23757,436231.931071926,6542524.47211,6542395.83257822,,,20,,,,False,False,,False,64.0,,4001,0.168,0.016,,0.46,0.168,1e-05,,,,,,,,,,,,,,,195.75774694123703,20.0,186.11758862692196,20.0,,,100,1000,,6.709999999999999,0.3027011582663078
9,pipe,уз. в к1,уз. в к1,к.1,к.1,439822.710824675,439823.23,6546130.66132836,6546342.02,,,20,,,,False,False,,False,84.8,,158,0.168,0.016,,0.46,0.168,1e-05,,,,,,,,,,,,,,,204.46914688900853,20.0,202.67321405528762,20.0,,,100,1000,,15.799999999999999,0.7127687482276697
